Curso,Nivel,Codigo,Genero,Adaptacion,Puntuacion_profesor,Puntuacion_apoyo,Laboratorios_escuela,Laboratorios_comunicaciones,Sensibilizacion_ONG,Material,Ingenieria_despues,Dedicacion,Valoracion_ingenierias_despues,Nivel_matematicas,Recomendacion,Repetir,Puntuacion_curso,Mejor_curso,Peor_curso,Mejorar,Gustar,Estudiar,Entender,No_entender,Profesional,Actividades,Carrera,Facilidad,Disfrutar,No_trabajo,Mundo_mejor,Interes_asignaturas,Salida_profesional,Actividades_instituto,Dificultad_asignaturas,Trabajo,Respeto_cientificos,Efecto_vidas,No_gustar,Examenes,Decisiones_personales,Otros_campus,Decision,Edad,Valoracion_ingenierias_antes,Ingenieria_antes,Valoracion_ingenierias
EDICION DE FOTO Y VIDEO,JUNIOR,2602000,Chica,Bien,8,9,No asistí,No asistí,Buena,Muy bien,Sí,arquitectura y diseño de interior o abogada,Buena,Muy bien,Sí,Sí,8,aprender mucho,lo de las puertas de entrada y salida,"los horarios es decir, que empiezen las clases tan pronto",5,5,4,1,1,5,3,4,4,3,5,5,5,5,4,3,3,5,1,5,5,No,"Yo, Mis padres, Mis amigos",12,Buena,Sí,Igual
BIOINGENIERIA,JUNIOR,2604000,Chica,Muy bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,Sí,"Científica de medicinas, Programadora o Ingeniera Aeronáutica",Muy buena,Muy bien,Sí,Sí,10,He conocido a unos amigos muy buenos y simpáticos los experimentos web muy divertidos,"Nada, solo que ya se termina este curso 😭",Si se puede poned monopatines para los recreos y descansos para que nos entretengamos un poco,5,5,4,2,1,5,5,4,5,1,5,5,5,5,2,5,5,5,1,2,5,No,Yo,10,Muy buena,Sí,Igual
CIENCIA EN LA COCINA,JUNIOR,2604000,Chica,Muy bien,10,10,No asistí,No asistí,Muy buena,Muy bien,Sí,"Científica de medicinas, Programadora o Ingeniera Aeronáutica",Muy buena,Muy bien,Sí,Sí,10,"Estar con personas bastante simpáticas, que los profes eran muy amables y las recetas estaban buenísimas",NADA,"Bueno, no creo que esto se pueda pero mientras que estamos en el patio que haya patinetes y patines para poder dar vueltas por todo el patio",5,4,5,1,5,5,5,4,5,1,5,5,5,5,1,5,4,3,1,3,5,No,Yo,10,Muy buena,Sí,Igual
ROBOTICA,JUNIOR,2604000,Chica,Bien,9,9,Regular,Regular,Regular,Bien,No sé,Arquitecta,Buena,Bien,Sí,Sí,8,Los materiales,nada,nada,4,3,4,1,3,3,3,4,3,2,4,4,3,4,1,4,4,4,1,1,4,No,Yo,10,Muy buena,Sí,Peor
BIOINGENIERIA,SENIOR,2605000,Chica,Bien,10,10,Muy buena,No asistí,Buena,Muy bien,No sé,Meteoróloga o diseñadora de interiores,Buena,Bien,Sí,Sí,10,La variedad de experimentos y teoría que hemos visto durante esta semanas,Nada,Que los descansos sean más cortos para que tengamos más tiempo del curso,3,3,4,2,3,4,3,3,3,4,4,3,3,4,3,2,4,3,2,3,3,No,Yo,14,Buena,No sé,Igual
CIENCIA EN LA COCINA,SENIOR,2605000,Chica,Muy bien,10,10,Muy buena,No asistí,Buena,Muy bien,No sé,"Meteoróloga, diseñadora de interiores",Buena,Bien,Sí,Sí,10,la variedad de comida y técnicas que hemos hecho,que para mi gusto dura mucho,que el patio no sea tan largo para tener mas tiempo de el curso,3,3,4,2,3,4,3,3,3,3,3,3,3,4,2,3,4,3,2,2,3,No,Yo,14,Buena,No sé,Igual
BIOINGENIERIA,SENIOR,2605041,Chica,Muy bien,10,10,Buena,Buena,Muy buena,Muy bien,Sí,Biología-Zoología,Buena,Regular,Sí,Sí,10,La alegría de los monitores y como te explican las cosas,Nada :) todo era bueno,Nada :),5,5,5,1,2,5,5,5,5,2,5,5,5,5,2,5,3,5,1,2,5,No,"Yo, Mis padres, Mis amigos",15,Buena,Sí,Igual
BIOINGENIERIA,SENIOR,2606000,Chico,Bien,9,10,Muy buena,No asistí,Buena,Muy bien,Sí,Empresariales,Muy buena,Muy bien,No,Sí,10,Lo de las drogas,Demasiada teoría,Demasiada teoría,5,5,5,1,1,3,5,4,5,1,5,5,5,5,1,5,5,5,1,1,5,No,Yo,14,Muy buena,Sí,Igual
EDICION DE FOTO Y VIDEO,JUNIOR,2606000,Chico,Bien,10,1,No asistí,No asistí,Muy buena,Muy bien,Sí,No lo se muy bien pero el photosop meinspira y tambien me gustaria ser actor,Muy buena,Bien,Sí,Sí,10,todo,nada de nada,nada de nada,5,4,4,1,1,1,3,3,5,2,5,3,3,4,2,2,5,5,1,3,5,No,Yo,14,Muy buena,Sí,Igual
INGENIERIA MECANICA,SENIOR,2606000,Chico,Bien,10,10,Muy buena,No asistí,Buena,Bien,Sí,Ingeniería de telecomunicaciones o economía,Buena,Muy bien,Sí,Sí,10,Montar los coches eléctricos y de gasolina y probarlos.,El dibujo técnico y el diseño de piezas,,4,5,5,1,1,3,5,4,4,2,5,5,5,4,2,5,5,5,1,1,5,No,Yo,14,Muy buena,Sí,Peor
INTELIGENCIA ARTIFICIAL,SENIOR,2609000,Chico,Bien,8,7,Buena,Muy buena,Regular,Bien,Sí,Al Doble Grado De Física Y Matemáticas,Muy buena,Muy bien,No,No,7,Al salir,Desde entrar hasta salir (Excepto el rato de ver el cluster de 1 TB de RAM),Un Poco Todo,5,5,5,1,1,5,5,5,5,1,5,5,5,5,3,5,4,5,1,3,5,No,Mis padres,13,Buena,Sí,Mejor
DRONES,SENIOR,2609256,Chico,Regular,9,9,Muy buena,No asistí,Buena,Muy bien,Sí,ingenieria,Buena,Bien,Sí,Sí,8,el siguelineas,La teoria (no la entiendo),nada,4,4,4,2,4,3,5,3,5,1,5,4,4,5,4,3,4,4,1,3,4,No,"Yo, Mis amigos",14,Buena,Sí,Igual
INTELIGENCIA ARTIFICIAL,SENIOR,2609571,Chico,Bien,10,10,Buena,Buena,Buena,Bien,Sí,Ingenieria,Buena,Bien,Sí,Sí,10,todo,nada,pocas cossas,4,5,3,4,5,4,4,4,4,5,3,4,3,5,4,4,4,5,4,3,4,No,Mis amigos,16,Buena,No sé,Igual
MINECRAFT,JUNIOR,2611160,Chico,Muy bien,10,10,No asistí,No asistí,Muy buena,Muy bien,Sí,no lo sé,Muy mala,Muy bien,Sí,Sí,10,el aula/material,nada,la encuesta (repetitiva),5,5,5,4,2,4,4,4,5,4,5,5,4,5,3,4,4,5,1,3,5,No,Yo,12,Muy buena,Sí,Other
INGENIERIA MECANICA,SENIOR,2612649,Chico,Bien,9,9,Muy buena,No asistí,Muy buena,Muy bien,Sí,Ingenieria,Buena,Muy bien,Sí,Sí,10,La teoría de aerodinámica de f1 y los motores de combustión y los experimentos,La teoría de motores eléctricos,Más practica,5,5,4,2,1,3,5,4,4,1,5,5,5,4,1,5,4,4,1,1,3,No,Yo,15,Buena,Sí,Igual
CIENCIA EN LA COCINA,JUNIOR,2703000,Chica,Muy bien,10,10,No asistí,No asistí,Buena,Muy bien,Sí,"pediatra,  profesora o farmaceútica.",Muy buena,Bien,Sí,Sí,10,los trampantojos y el horno solar,la pantalla que servía para protegernos de COVID,me gustaría que nos dejaran utilizar alguna batidora o cosas así,5,4,5,1,2,4,3,4,5,1,5,4,3,5,3,3,3,5,1,2,4,No,Yo,13,Muy buena,No sé,Igual
INTELIGENCIA ARTIFICIAL,SENIOR,2703000,Chico,Bien,9,9,Muy buena,Buena,Buena,Bien,No sé,no sé,Buena,Bien,Sí,Sí,9,python,nada,nada,4,4,4,1,3,2,2,3,4,3,4,4,4,4,2,3,4,3,2,2,3,No,Yo,13,Muy buena,No sé,Peor
VIDEOJUEGOS 3D,SENIOR,2703000,Chico,Bien,10,5,Muy buena,Muy buena,Buena,Muy bien,No sé,No sé,Muy buena,Muy bien,Sí,Sí,10,todo,nada,Yo no cambiaría nada,4,3,4,2,3,3,3,4,4,3,4,3,4,4,2,3,4,4,2,2,4,No,Yo,13,Muy buena,No sé,Igual
DISEÑO 3D,JUNIOR,2703772,Chica,Bien,9,9,No asistí,No asistí,Buena,Bien,No,no sé,Buena,Bien,Sí,Sí,9,los bilis 3D,las exposiciones,las impresoras,3,3,4,2,3,3,2,3,4,3,5,3,3,2,3,3,4,4,2,4,4,2019,Mis padres,12,Buena,No sé,Igual
AUTOMATIZACION,SENIOR,2705000,Chico,Muy bien,10,10,Regular,Regular,Regular,Muy bien,Sí,ingeniero nanotecnologico,Muy buena,Muy bien,Sí,Sí,10,"Los problemas que nos daban para hacer, cuanto más difíciles mejor y el ambiente",La charla ya que al haber venido ya varias semanas he repetido lo que dicen,"el laboratorio, porque estamos en automatización y en vez de ir a un laboratorio de algo al azar podríamos ir a laboratorios con algo que ver con lo que estamos viendo",5,5,5,1,1,4,5,3,5,1,5,5,5,5,1,5,3,5,1,1,5,2018,Yo,14,Muy buena,Sí,Igual
INGENIERIA ELECTRONICA,SENIOR,2705000,Chico,Muy bien,10,10,Regular,Regular,Buena,Bien,Sí,ingenieria nanotecnologica,Muy buena,Muy bien,Sí,Sí,10,los problemas y las explicaciones,el patio sin deportes,Par mejorar el curso podrían hacer que la profesora pudiese tener días en zonas seguras para que los alumnos puedan hacer un experimento en el que podrán ver la importancia de los componentes y su correcta colocación podrían usar sobre todo condensadores.,5,4,5,1,1,4,5,4,5,1,5,5,5,5,2,5,4,4,1,1,4,2018,Yo,14,Muy buena,Sí,Igual
BIOINGENIERIA,JUNIOR,2707000,Chica,Bien,10,10,Muy buena,Buena,Muy buena,Bien,No sé,no sé,Buena,Muy bien,Sí,Sí,10,los experimentos,el debate,nada,5,4,5,1,3,4,3,5,5,3,5,5,3,5,4,3,5,5,1,4,5,No,Mis padres,9,Buena,No sé,Igual
BIOINGENIERIA,JUNIOR,2707000,Chica,Muy bien,10,10,Muy buena,Muy buena,Muy buena,Muy bien,No sé,tengo varias opciones; una de ellas es diseñadora de interiores o actriz y otra que he decidido que puedo ser este año en este curso de bioingenieria es bióloga marina.,Buena,Bien,Sí,Sí,10,lo mejor del curso es lo mucho que he aprendido tanto viendo videos como explicando las cosas y sobre todo mirando con el microscopio y hacer nuestras propias placas petri.,lo peor del curso la verdad es que no tengo cosas malas q decir porque todo me ha encantado muchisimo.,deberiais mejorar ir al recreo puntuales y no reterasarnos,4,4,5,2,2,3,2,3,4,2,4,3,4,4,2,2,3,5,1,1,4,No,Mis padres,9,Buena,No sé,Igual
CIENCIA EN LA COCINA,JUNIOR,2707000,Chica,Bien,10,10,No asistí,No asistí,Muy buena,Muy bien,No sé,no sé,Buena,Muy bien,Sí,Sí,10,todo,nada,no,5,3,5,1,3,3,3,5,5,5,5,5,3,5,5,2,5,5,1,5,5,No,Mis padres,9,Buena,No sé,Igual
CIENCIA EN LA COCINA,JUNIOR,2707000,Chica,Muy bien,10,10,No asistí,No asistí,Muy buena,Muy bien,No sé,"tengo varias opciones: una de ellas es ser diseñadora de interiores, otra actriz y la última es bióloga marina.",Buena,Bien,Sí,Sí,10,Lo mejor del curso a sido el trampaojo de fuet y morcilla. Por cierto la idea es buernisiman.,Lo peor del curso ha sidoel primer dia cuando nos explicaban la fermentación,Tenéis que mejorar la puntualidad al recreo.,3,4,5,1,2,2,3,3,4,4,5,4,4,3,2,2,2,5,1,1,5,No,Mis padres,9,Buena,No sé,Igual
DISEÑO 3D,JUNIOR,2707000,Chico,Bien,10,10,No asistí,No asistí,Buena,Bien,Sí,ingeniero industrial,Muy buena,Muy bien,Sí,Sí,9,Solid edge,Las impresoras y tinkercad,comprar impresoras buenas,5,5,5,1,5,4,5,4,5,1,5,5,5,5,3,5,4,5,1,1,5,No,Mis padres,9,Buena,No sé,Mejor
EDICION DE FOTO Y VIDEO,JUNIOR,2707000,Chica,Bien,8,10,No asistí,No asistí,Buena,Bien,Sí,todavia no lo se,Buena,Muy bien,Sí,Sí,9,la maquina y los materiales,nada,nada,5,5,5,1,1,4,5,3,5,1,5,4,5,5,2,5,4,5,1,1,5,No,Mis padres,9,Buena,No sé,Igual
ROBOTICA,JUNIOR,2707000,Chica,Bien,10,9,No asistí,No asistí,Buena,Muy bien,Sí,NO SE PERO ME GUSTARIA SER BIOLOGA O INGENIERA,Buena,Muy bien,Sí,Sí,9,CREAR ROBOTS,LAS COMPETICONES,NADA,5,5,5,2,1,5,4,4,5,2,5,5,5,5,4,5,4,5,1,1,5,No,Mis padres,9,Buena,No sé,Igual
VIDEOJUEGOS 2D,JUNIOR,2707000,Chico,Regular,9,1,Muy buena,No asistí,Buena,Muy bien,Sí,Químico,Buena,Muy bien,Sí,Sí,9,diseñar objetos para videojuegos,no se,no se,4,5,4,1,1,3,5,4,4,1,5,4,5,4,4,5,4,5,1,2,4,No,Mis padres,9,Buena,No sé,Igual
CIBERSEGURIDAD,SENIOR,2708000,Chica,Muy bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,No sé,Ni idea,Muy buena,Mal,Sí,Sí,10,La materia,El aire acondicionad,La temperatura,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,5,5,1,1,5,No,Yo,14,Muy mala,Sí,Other
EDICION DE FOTO Y VIDEO,SENIOR,2708000,Chica,Muy bien,10,10,Muy buena,Muy buena,Buena,Muy bien,Sí,No se,Muy buena,Muy bien,Sí,Sí,10,Aprender a manejar Photoshop,NO se,NO,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,3,5,1,1,5,No,Yo,14,Muy mala,Sí,Other
EMPRENDE ICADE,SENIOR,2708000,Chica,Muy bien,10,10,No asistí,No asistí,Muy buena,Muy bien,Sí,No lo se,Muy buena,Muy bien,Sí,Sí,10,La dinámicas,Exponer,Exposiciones,5,5,5,1,1,5,5,5,5,1,5,5,5,5,5,5,5,5,1,1,5,No,Yo,14,Muy mala,Sí,Other
INGENIERIA MECANICA,JUNIOR,2708000,Chica,Muy bien,8,10,Muy buena,No asistí,Buena,Bien,Sí,No sé,Muy buena,Muy bien,Sí,Sí,9,no sé,no sé,no sé,5,5,5,1,5,5,5,5,5,2,5,5,5,5,2,4,4,5,1,1,5,No,Yo,14,Muy mala,Sí,Other
INTELIGENCIA ARTIFICIAL,SENIOR,2708000,Chica,Muy bien,10,10,Muy buena,Muy buena,Muy buena,Muy bien,Sí,Algo relacionado con la ciencia,Muy buena,Muy bien,Sí,Sí,10,El material,El horario,"De que hora a que hora va el patio ( misma duración, diferente hora)",5,5,5,1,1,5,5,5,5,2,5,5,5,5,1,5,5,5,1,1,5,No,Yo,14,Muy mala,Sí,Other
BIOINGENIERIA,SENIOR,2708654,Chico,Muy bien,10,10,Buena,No asistí,Muy buena,Muy bien,No sé,Cirujano Cardiovascular,Muy buena,Muy bien,Sí,Sí,9,Ver las muestras de microorganismos en los microscopios,Nada.,"Nada, ha estado muy bien",5,4,5,1,2,4,4,5,5,3,5,5,5,5,2,3,5,5,5,2,4,"2016, 2017, 2018, 2019",Yo,14,Muy buena,No sé,Igual
ROBOTICA,JUNIOR,2709000,Chica,Bien,10,10,No asistí,No asistí,Muy buena,Muy bien,No sé,no sé,Buena,Muy bien,Sí,Sí,10,hacer robots,nada,el tiempo en construir los robots,4,4,5,2,2,4,3,3,4,2,4,4,3,5,3,3,3,4,1,3,4,2019,Yo,10,Buena,No sé,Igual
DRONES,SENIOR,2709421,Chico,Bien,9,9,Muy buena,No asistí,Buena,Muy bien,Sí,Ingeniero,Buena,Bien,Sí,Sí,9,Hacer nuestro propio dron,Teoría pero es necesario.,Nada,4,4,4,2,2,5,5,4,5,2,5,4,4,4,1,4,5,5,1,1,4,2020 (online),"Yo, Mis padres",14,Buena,Sí,Igual
INGENIERIA MECANICA,SENIOR,2709421,Chico,Muy bien,9,10,Muy buena,No asistí,Buena,Muy bien,Sí,Ingeniero,Buena,Bien,Sí,Sí,9,Conducir el choche teledirigido,Nada,Nada,4,4,4,1,2,4,4,3,4,2,5,4,4,4,2,4,5,4,1,3,5,2020 (online),"Yo, Mis padres",14,Buena,Sí,Igual
EMPRENDE ICADE,SENIOR,2709776,Chica,Muy bien,10,10,No asistí,No asistí,Muy buena,Muy bien,No,inversora de banca o abogada,Muy buena,Muy bien,Sí,Sí,10,mis profesores,la hora de comienzo,la hora de entrada,5,5,5,1,3,2,4,5,5,1,5,5,5,5,1,2,5,5,1,1,5,No,Yo,15,Buena,No sé,Mejor
EDICION DE FOTO Y VIDEO,JUNIOR,2710000,Chica,Muy bien,10,10,No asistí,No asistí,Muy buena,Bien,Sí,Arquitecta y cientifica,Buena,Muy bien,Sí,No,9,stop motion,lo del puzzle desordenado dory,Nada,5,5,4,1,1,1,3,5,5,1,3,3,5,3,1,5,3,4,1,4,4,No,Mis padres,8,Buena,Sí,Igual
INGENIERIA MECANICA,SENIOR,2710351,Chico,Bien,9,9,Muy buena,No asistí,Muy buena,Bien,Sí,No estoy del todo seguro,Muy buena,Bien,Sí,No,9,Los profesores,No se,Tampoco lo se,3,4,5,2,1,2,4,4,3,2,4,3,3,3,4,3,4,5,2,4,5,No,Mis padres,16,Buena,Sí,Mejor
INGENIERIA MECANICA,JUNIOR,2801000,Chico,Muy bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,No sé,buena pregunta,Muy buena,Muy bien,Sí,Sí,10,que hemos visto cosas que normalmente se ven en 1 de bac,el olor del laboratorio de química,nada,5,5,5,1,5,5,5,5,5,1,5,5,5,5,1,5,5,5,1,1,5,No,Yo,12,Muy buena,No sé,Igual
ROBOTICA,JUNIOR,2801000,Chico,Muy bien,10,10,No asistí,No asistí,Muy buena,Muy bien,No sé,no se,Muy buena,Muy bien,Sí,Sí,10,todo,nada,nada,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,5,5,1,1,5,No,Yo,12,Muy buena,No sé,Igual
CIENCIA EN LA COCINA,JUNIOR,2802000,Chica,Bien,10,10,No asistí,No asistí,Muy buena,Muy bien,Sí,no lo se,Muy buena,Muy bien,Sí,Sí,10,cocinar,nada,nada,5,5,5,1,1,4,5,4,4,2,4,5,5,3,4,4,4,5,1,3,5,No,Yo,10,Buena,Sí,Mejor
ROBOTICA,JUNIOR,2802000,Chica,Muy bien,10,10,Regular,Regular,Regular,Muy bien,No sé,informatica,Muy buena,Muy bien,Sí,Sí,10,todo,nada,nada,4,4,5,1,1,1,3,5,4,2,5,4,4,4,1,2,5,5,1,1,5,No,Yo,10,Buena,Sí,Mejor
EDICION DE FOTO Y VIDEO,JUNIOR,2803000,Chica,Poco,9,10,No asistí,No asistí,Buena,Bien,No sé,UNA MULTIMILLONARIA,Buena,Bien,Sí,Sí,8,ME PUEDE AYUDAR EN LAS PREENTACIONES DEL COLEGIO,DEMASIADAS HORAS DE ORDENADOR SEGUIDO,NO MUCHO,5,3,4,1,3,3,3,1,4,2,4,4,4,5,3,4,3,5,1,3,4,No,"Yo, Mis padres",11,Buena,No,Igual
ROBOTICA,JUNIOR,2803273,Chico,Bien,9,9,No asistí,No asistí,Muy buena,Muy bien,Sí,ingeniero aeronáutico o registrador de la propiedad,Muy buena,Muy bien,Sí,Sí,9,la creación del hardware del robot y su programación,nada,En mi opinión todo está muy bien y es divertido e interesante.,5,4,5,1,2,4,4,5,5,1,5,5,4,5,1,4,5,5,1,1,4,No,"Yo, Mis padres",13,Muy buena,No sé,Igual
EDICION DE FOTO Y VIDEO,JUNIOR,2804000,Chico,Muy bien,9,9,Mala,Mala,,Bien,No sé,arqueología,Muy buena,Muy bien,Sí,Sí,9,la edición con photoshop,lo mal que iban algunos ordenadores y sistemas,algunos ordenadores,5,5,5,2,2,4,4,4,5,3,5,5,4,5,1,4,5,5,1,2,4,"2019, 2020 (online)","Yo, Mis padres",12,Muy buena,Sí,Igual
AUTOMATIZACION,SENIOR,2804143,Chico,Regular,9,1,Buena,No asistí,Mala,Bien,Sí,ingeniería informática,Muy buena,Muy bien,Sí,Sí,7,el brazo robótico,el primer día,pasar un poco menos de tiempo en las luces del primer día,5,5,5,1,5,4,5,4,4,1,5,5,5,4,1,3,3,3,1,1,4,No,"Yo, Mis padres",17,Muy buena,Sí,Igual
EMPRENDE ICADE,SENIOR,2807313,Chica,Bien,8,8,No asistí,No asistí,Buena,Bien,No sé,No sé,Buena,Bien,Sí,No,8,El trabajo en equipo y el innovar ideas,...,,3,2,4,3,3,2,2,2,2,4,4,2,2,2,3,2,3,4,2,4,3,2018,Yo,16,Buena,No,Igual
AUTOMATIZACION,SENIOR,2807679,Chico,Bien,10,10,No asistí,No asistí,Muy buena,Bien,Sí,a una ingeniería,Muy buena,Muy bien,Sí,Sí,9,El tener la libertad de poder programar cualquier cosa en todas las actividades de los días (más concretamente con el brazo robótico),Para mi lo peor sería la conferencia porque todo me ha parecido muy bien,no creo que haya que cambiar nada,5,5,5,1,1,4,5,4,5,3,5,5,5,5,4,4,4,5,1,3,5,No,Yo,15,Muy buena,Sí,Igual
INTELIGENCIA ARTIFICIAL,SENIOR,2807679,Chico,Bien,10,10,Muy buena,Buena,Muy buena,Bien,Sí,A una ingeniería,Muy buena,Muy bien,Sí,Sí,9,Los profesores y el buen rollo que había en clase a la hora de hacer ejercicios,"Nada ha sido malo, todo ha estado bien",nada,5,5,5,1,1,5,5,4,5,3,5,5,5,5,4,3,3,5,1,4,5,No,Yo,15,Muy buena,Sí,Igual
DISEÑO 3D,SENIOR,2807890,Chico,Bien,9,9,Muy buena,No asistí,Buena,Muy bien,Sí,Ingeniero,Muy buena,Muy bien,Sí,Sí,9,Poder hacer tu propio diseño,Que las impresoras se estropean,Las impresoras,3,3,4,2,3,2,3,3,3,3,5,3,3,2,3,2,3,5,3,3,4,"2019, 2020 (online)","Yo, Mis padres",13,Muy buena,Sí,Igual
EDICION DE FOTO Y VIDEO,SENIOR,2807890,Chico,Muy bien,9,1,No asistí,No asistí,Buena,Bien,Sí,Ingeniero,Muy buena,Muy bien,Sí,Sí,9,Poder hacer tu propio vídeo editándolo,Nada,Nada,3,3,4,2,3,2,2,3,2,4,5,3,2,2,3,2,3,4,3,2,4,"2019, 2020 (online)","Yo, Mis padres",13,Muy buena,Sí,Igual
DISEÑO 3D,JUNIOR,2808000,Chica,Regular,10,10,No asistí,No asistí,Buena,Bien,No sé,no sé,Me da igual,Regular,Sí,Sí,8,llevarse las figuras,crear las figuras,no sé,4,3,4,2,3,3,3,4,4,3,4,4,3,2,3,3,3,4,2,4,4,2018,Mis padres,10,Buena,No sé,Peor
EDICION DE FOTO Y VIDEO,JUNIOR,2808000,Chica,Bien,7,7,No asistí,No asistí,Buena,Muy bien,No,no sé,Me da igual,Regular,Sí,Sí,7,ver las fotos/videos que han hecho otros,no sé,no sé,4,2,4,2,3,4,1,3,3,5,4,1,1,2,5,2,4,4,3,5,3,2018,Mis padres,10,Buena,No sé,Peor
DISEÑO 3D,JUNIOR,2811000,Chico,Bien,10,7,No asistí,No asistí,Buena,Muy bien,Sí,zoologo,Buena,Muy bien,Sí,Sí,9,el recreo,???????????,nada,3,3,4,1,1,3,3,1,4,1,5,4,4,3,3,4,4,2,1,3,2,No,"Yo, Mis padres",10,Buena,No sé,Igual
MINECRAFT,JUNIOR,2811000,Chico,Bien,9,9,No asistí,No asistí,Buena,Muy bien,Sí,zoologo,Buena,Muy bien,Sí,Sí,9,minecraft,?????,????,4,4,4,1,1,4,3,1,3,1,4,4,4,4,3,4,4,4,1,3,4,No,"Yo, Mis padres",10,Buena,No sé,Igual
MINECRAFT,JUNIOR,2811000,Chico,Muy bien,9,9,No asistí,No asistí,Buena,Muy bien,No sé,arquitecto,Buena,Muy bien,Sí,Sí,10,minijuegos,oleada de monstruos,hacer mas minijuegos,4,5,5,1,4,4,3,5,4,4,5,3,2,4,2,3,5,3,1,2,5,No,"Yo, Mis padres",10,Buena,No sé,Igual
ROBOTICA,JUNIOR,2811000,Chico,Bien,10,10,No asistí,No asistí,Buena,Muy bien,Sí,Arquitecto,Muy buena,Muy bien,Sí,Sí,9,Construir El brazo robot,Los ejercicios,Menos ejercicios,4,4,5,1,4,3,4,4,5,2,5,4,3,5,2,4,3,5,1,2,5,No,"Yo, Mis padres",10,Buena,No sé,Mejor
CIENCIA EN LA COCINA,JUNIOR,2812000,Chica,Muy bien,9,9,No asistí,No asistí,Buena,Muy bien,No sé,A ser farmaceutica o cocinera,Buena,Regular,Sí,Sí,10,"Las maquinas expendedoras, lavar los recipientes, la comida y divertirme",Las escaleras,Las escaleras,4,3,4,1,3,4,4,4,5,3,5,5,3,5,1,3,5,4,1,1,4,No,Mis padres,10,Buena,No sé,Igual
EDICION DE FOTO Y VIDEO,JUNIOR,2812000,Chica,Bien,10,9,Muy buena,No asistí,Regular,Muy bien,No sé,A la medicina (farmacia) y diseñadora de moda,Buena,Regular,Sí,Sí,9,"Las maquinas expendedoras, hacer amigos/as y las clases en general",El dolor de cabeza por los ordenadores,poner otro descanso de 10 /15 minutos,4,3,3,1,3,4,4,3,5,4,5,4,3,5,3,2,4,4,1,1,3,No,Mis padres,10,Buena,No sé,Igual
BIOINGENIERIA,SENIOR,2812778,Chico,Bien,9,10,Muy buena,Muy buena,Regular,Muy bien,No,No lo se ;(,Buena,Bien,Sí,Sí,8,Los profes y los experimentos,la teoria,La teoría porque al ser de colegios diferentes damos conceptos distintos hay cosas que no sabía y compañeros de aquí si y viceversa,4,2,4,3,2,4,2,3,3,3,5,3,3,4,4,2,4,4,4,5,5,No,Mis padres,15,Buena,No,Igual
DRONES,SENIOR,2901314,Chico,Bien,10,10,Muy buena,Muy buena,Buena,Bien,No sé,arquitectura,Buena,Muy bien,Sí,Sí,8,todo,nada,nada,4,4,3,1,3,2,4,4,3,2,5,4,3,3,4,3,3,4,2,4,5,No,Mis padres,15,Buena,No sé,Igual
CIBERSEGURIDAD,SENIOR,2901837,Chico,Bien,10,10,Muy buena,Muy buena,Muy buena,Muy bien,Sí,Algo relacionado con la informática,Muy buena,Muy bien,Sí,Sí,10,Aprender a hackear,Madrugar,Todo está bien,5,5,5,1,1,4,5,4,5,1,5,5,5,5,1,5,5,5,1,1,5,No,Yo,16,Muy buena,Sí,Igual
DRONES,SENIOR,2901873,Chico,Regular,9,9,Buena,Regular,Buena,Bien,No sé,Cientifico,Buena,Bien,Sí,No,8,Terminar los drones,Programarlos,La facilidad,3,4,4,1,1,3,3,3,4,1,4,4,4,3,3,5,4,4,1,3,3,No,Mis padres,14,Buena,No sé,Igual
VIDEOJUEGOS 3D,SENIOR,2908377,Chico,Muy bien,9,5,Muy buena,Muy buena,Buena,Muy bien,No sé,Supongo que ser streamer o hacer algo relacionado con la robotica.,Muy buena,Muy bien,Sí,Sí,9,Unreal Engine,La mesa NO para de moverse.,La pinche MESAAA,5,4,4,1,3,1,2,3,3,5,4,2,2,3,3,1,4,3,1,2,3,2019,Mis padres,13,Muy buena,Sí,Igual
DRONES,SENIOR,2909080,Chico,Bien,9,9,Muy buena,No asistí,Muy buena,Bien,No sé,No se,Buena,Bien,Sí,Sí,9,Aprender a programar,Las pantallas,No se,4,4,4,2,2,3,4,4,4,2,4,4,3,4,2,4,4,4,2,2,4,No,Mis padres,14,Me da igual,No sé,Mejor
SMART CITY,SENIOR,2909080,Chico,Bien,10,1,Muy buena,Muy buena,Muy buena,Muy bien,No sé,No se,Buena,Bien,Sí,Sí,10,Maqueta,nada,Nada,4,4,4,2,2,3,4,4,4,2,4,4,3,3,2,3,4,4,2,2,4,No,Mis padres,14,Me da igual,No sé,Mejor
VIDEOJUEGOS 3D,SENIOR,2912000,Chico,Muy bien,10,5,Muy buena,No asistí,Regular,Bien,Sí,Programador Puede pero no lo se.,Muy buena,Muy bien,Sí,Sí,10,He apprendido mucho.,Nada,El recreo.,5,5,5,1,1,5,5,5,5,1,5,4,5,5,2,5,3,4,1,4,5,2018,Yo,12,Muy buena,Sí,Igual
